google_name,google_latitude,google_longitude,google_address,google_maps_url,google_place_id,google_cid
Trạm thu phí 319 HLD,10.768771,106.92285,"Ngã 3, Bến Cam, Nhơn Trạch, Đồng Nai, Việt Nam",https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+319+HLD/data=!4m7!3m6!1s0x317519e570d57dbb:0x3aa8452199f3b6a4!8m2!3d10.7687709!4d106.9228499!16s%2Fg%2F11shlyq3yg!19sChIJu33VcOUZdTERpLbzmSFFqDo?authuser=0&hl=vi&rclk=1,ChIJu33VcOUZdTERpLbzmSFFqDo,4226704260906333860
Trạm thu phí An Dân,13.3493,109.208309,"86X5+P87 Trạm Thu phí An Dân, QL1A, Tuy An Bắc, Đắk Lắk, Việt Nam",https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+phi%CC%81+An+D%C3%A2n/data=!4m7!3m6!1s0x316f97f5d5f6dcdb:0x275f9ed572d5b048!8m2!3d13.3492996!4d109.2083086!16s%2Fg%2F11f2wfdyp0!19sChIJ29z21fWXbzERSLDVctWeXyc?authuser=0&hl=vi&rclk=1,ChIJ29z21fWXbzERSLDVctWeXyc,2837160929858531400
Trạm thu phí An Hiệp,9.6596264,105.9312819,"MW5J+VG3, An Ninh, Cần Thơ, Việt Nam",https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+An+Hi%E1%BB%87p/data=!4m7!3m6!1s0x31a051ad371bd7e9:0x703b5ac78f1e479e!8m2!3d9.6596264!4d105.9312819!16s%2Fg%2F11c208q_qg!19sChIJ6dcbN61RoDERnkcej8daO3A?authuser=0&hl=vi&rclk=1,ChIJ6dcbN61RoDERnkcej8daO3A,0x31a051ad371bd7e9:0x703b5ac78f1e479e
Trạm thu phí An Hữu - cao tốc Mỹ Thuận - Cần Thơ,10.317215,105.885382,"8V8P+95Q Trạm thu phí lối vào cao tốc, Thanh Hưng, Đồng Tháp, Việt Nam",https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+l%E1%BB%91i+v%C3%A0o+cao+t%E1%BB%91c/data=!4m7!3m6!1s0x310a8581fab5abcd:0xd29a83a58f455bf5!8m2!3d10.3172145!4d105.8853816!16s%2Fg%2F11rncskrlz!19sChIJzau1-oGFCjER9VtFj6WDmtI?authuser=0&hl=vi&rclk=1,ChIJzau1-oGFCjER9VtFj6WDmtI,15175586641474837493
Trạm thu phí An Lão,20.799313,106.523135,"QGXF+P7C Trạm Thu phí An Lão, An Quang, Hải Phòng, Việt Nam",https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+An+L%C3%A3o/data=!4m7!3m6!1s0x313589d275758fb9:0x2f5b97a0b5805a38!8m2!3d20.7993129!4d106.5231346!16s%2Fg%2F11c2kk9mxd!19sChIJuY91ddKJNTEROFqAtaCXWy8?authuser=0&hl=vi&rclk=1,ChIJuY91ddKJNTEROFqAtaCXWy8,3412487859158932024
Trạm thu phí An Sương - An Lạc,10.7949827,106.5966321,"QHVV+VC8 Trạm thu phí An Sương-An Lạc, 562 QL1A, Bình Hưng Hòa, Hồ Chí Minh, Việt Nam","https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+An+S%C6%B0%C6%A1ng+-+An+L%E1%BA%A1c/@10.7949827,106.5966321,17z/data=!3m1!4b1!4m6!3m5!1s0x31752b882c626f87:0xc3fe29f53512493a!8m2!3d10.7949827!4d106.5966321!16s%2Fg%2F11gbh_x9_3?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",,0x31752b882c626f87:0xc3fe29f53512493a
Trạm thu phí BOT Biên Cương,21.009102,107.354951,"2953+JXW Trạm thu phí BOT Biên Cương, Cửa Ông, Quảng Ninh, Việt Nam",https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+BOT+Bi%C3%AAn+C%C6%B0%C6%A1ng/data=!4m7!3m6!1s0x314b0110b50af6c7:0xf737cf0c9e928f75!8m2!3d21.0091023!4d107.3549506!16s%2Fg%2F11f4m5mfl5!19sChIJx_YKtRABSzERdY-SngzPN_c?authuser=0&hl=vi&rclk=1,ChIJx_YKtRABSzERdY-SngzPN_c,17813934504194248565
Trạm thu phí BOT Quang Đức QL14,12.830902,108.248057,"R6JX+967 Trạm Thu Phí BOT Quang Đức QL14, Hùng Vương, Cư Bao, Đắk Lắk, Việt Nam",https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+Ph%C3%AD+BOT+Quang+%C4%90%E1%BB%A9c+QL14/data=!4m7!3m6!1s0x3171e32fde3eb5b3:0x926cb7a676602836!8m2!3d12.8309017!4d108.248057!16s%2Fg%2F11bxd87hkj!19sChIJs7U-3i_jcTERNihgdqa3bJI?authuser=0&hl=vi&rclk=1,ChIJs7U-3i_jcTERNihgdqa3bJI,10551009952600696886
Trạm thu phí BOT Thanh Nê,20.3915191,106.4301286,"kiến xương, Kiến Xương, Hưng Yên, Việt Nam",https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+BOT+Thanh+N%C3%AA/data=!4m7!3m6!1s0x3135fdf354a1c3cd:0xc78a788faffd3965!8m2!3d20.3915191!4d106.4301286!16s%2Fg%2F11t89zzh6d!19sChIJzcOhVPP9NTERZTn9r494isc?authuser=0&hl=vi&rclk=1,ChIJzcOhVPP9NTERZTn9r494isc,0x3135fdf354a1c3cd:0xc78a788faffd3965
Trạm thu phí Bình Giang,20.850998,106.202547,"V622+GR Trạm Thu phí Bình Giang, Nguyễn Lương Bằng, Hải Phòng, Việt Nam",https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+B%C3%ACnh+Giang/data=!4m7!3m6!1s0x313597001a8c5709:0xb7c1c9956ea6013d!8m2!3d20.8509984!4d106.2025468!16s%2Fg%2F11vpy_57c8!19sChIJCVeMGgCXNTERPQGmbpXJwbc?authuser=0&hl=vi&rclk=1,ChIJCVeMGgCXNTERPQGmbpXJwbc,13241086023089652029
Trạm thu phí Bình Xuyên (IC3),21.279366,105.669267,"7MH9+PPR Trạm Thu phí Bình Xuyên (IC3), Bình Nguyên, Phú Thọ, Việt Nam",https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+B%C3%ACnh+Xuy%C3%AAn+%28IC3%29/data=!4m7!3m6!1s0x3134fb6a0c83b383:0xc2ba03e72ec57442!8m2!3d21.2793664!4d105.6692667!16s%2Fg%2F11f3nlvw3k!19sChIJg7ODDGr7NDERQnTFLucDusI?authuser=0&hl=vi&rclk=1,ChIJg7ODDGr7NDERQnTFLucDusI,14031531880483222594
Trạm thu phí Bù Nho,11.7275712,106.8751126,"PVHG+22H, ĐT741, Phú Riềng, Đồng Nai, Việt Nam","https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+B%C3%B9+Nho/@11.7275712,106.8751126,17z/data=!3m1!4b1!4m6!3m5!1s0x31735d0004067931:0x7902a27e6cbe0b27!8m2!3d11.7275712!4d106.8751126!16s%2Fg%2F11x0r07bk1?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",,0x31735d0004067931:0x7902a27e6cbe0b27
Trạm thu phí Bạc Liêu,9.374352,105.712277,"9PF6+PWR Trạm Thu phí Bạc Liêu, Vĩnh Lợi, Cà Mau, Việt Nam",https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+B%E1%BA%A1c+Li%C3%AAu/data=!4m7!3m6!1s0x31a10618864342cf:0xdba2f305ec5244bb!8m2!3d9.3743521!4d105.7122771!16s%2Fg%2F11c6rfwy2c!19sChIJz0JDhhgGoTERu0RS7AXzots?authuser=0&hl=vi&rclk=1,ChIJz0JDhhgGoTERu0RS7AXzots,15826479247298544827
Trạm thu phí Bắc Bình Định,14.397124,109.017843,"92W9+R4W Trạm Thu phí Bắc Bình Định, AH1, Bồng Sơn, Gia Lai, Việt Nam",https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+B%E1%BA%AFc+B%C3%ACnh+%C4%90%E1%BB%8Bnh/data=!4m7!3m6!1s0x3168cfc13d831721:0x6adeb85cc894a565!8m2!3d14.3971237!4d109.0178425!16s%2Fg%2F11f15ht1rt!19sChIJIReDPcHPaDERZaWUyFy43mo?authuser=0&hl=vi&rclk=1,ChIJIReDPcHPaDERZaWUyFy43mo,7700795121491813733
Trạm thu phí Bắc Quảng Ngãi,15.15787,108.751739,"5Q52+4MX Trạm Thu phí Bắc Quảng Ngãi, Thôn Thọ, Sơn Tịnh, Quảng Ngãi, Việt Nam",https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+B%E1%BA%AFc+Qu%E1%BA%A3ng+Ng%C3%A3i/data=!4m7!3m6!1s0x3169ad0597f73d8f:0x2ecfcbe869c3a93e!8m2!3d15.1578704!4d108.751739!16s%2Fg%2F11h4d3p847!19sChIJjz33lwWtaTERPqnDaejLzy4?authuser=0&hl=vi&rclk=1,ChIJjz33lwWtaTERPqnDaejLzy4,3373138844991072574
Trạm thu phí Bắc Thăng Long - Nội Bài,21.203178,105.77953,"6Q3H+7RC Trạm Thu phí Bắc Thăng Long - Nội Bài, Đ. Võ Văn Kiệt, Nội Bài, Hà Nội, Việt Nam",https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+B%E1%BA%AFc+Th%C4%83ng+Long+-+N%E1%BB%99i+B%C3%A0i/data=!4m7!3m6!1s0x3134fd51f7b40205:0x440a3d15bb1842f3!8m2!3d21.2031777!4d105.7795302!16s%2Fg%2F11h40yh90n!19sChIJBQK091H9NDER80IYuxU9CkQ?authuser=0&hl=vi&rclk=1,ChIJBQK091H9NDER80IYuxU9CkQ,4902798307888743155
