google_name,google_latitude,google_longitude,google_maps_url,google_address,google_place_id,google_cid
NÚT GIAO IC19 - CỐC SAN,22.474232,103.966464,https://www.google.com/maps/place/N%C3%9AT+GIAO+IC19+-+C%E1%BB%90C+SAN/data=!4m7!3m6!1s0x36cd150006139909:0x99a8f15b91c6644a!8m2!3d22.4742319!4d103.9664639!16s%2Fg%2F11mzf8vj8k!19sChIJCZkTBgAVzTYRSmTGkVvxqJk?authuser=0&hl=vi&rclk=1,"FXF8+MHW NÚT GIAO IC19 - CỐC SAN, QL4D, Cốc San, Lào Cai, Việt Nam",ChIJCZkTBgAVzTYRSmTGkVvxqJk,11072365059480380490
Trạm Thu phí Cầu Móng Sến,22.416854,103.907146,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+C%E1%BA%A7u+M%C3%B3ng+S%E1%BA%BFn/data=!4m7!3m6!1s0x36cd6b8affd9ab45:0x1b43a1aa9b0c714b!8m2!3d22.4168543!4d103.9071458!16s%2Fg%2F11vb6d6hnt!19sChIJRavZ_4przTYRS3EMm6qhQxs?authuser=0&hl=vi&rclk=1,"CW84+PVR Trạm Thu phí Cầu Móng Sến, Tả Phìn, Lào Cai, Việt Nam",ChIJRavZ_4przTYRS3EMm6qhQxs,1964591616581464395
Trạm Thu phí Km 237 Cao tốc Hà Nội - Lào Cai,22.365139,104.080823,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Km+237+Cao+t%E1%BB%91c+H%C3%A0+N%E1%BB%99i+-+L%C3%A0o+Cai/data=!4m7!3m6!1s0x36cd3d002fa3c759:0x680d5c72b3e3213a!8m2!3d22.3651385!4d104.0808228!16s%2Fg%2F11x32wb3mq!19sChIJWcejLwA9zTYROiHjs3JcDWg?authuser=0&hl=vi&rclk=1,"938J+38 Trạm Thu phí Km 237 Cao tốc Hà Nội - Lào Cai, Gia Phú, Lào Cai, Việt Nam",ChIJWcejLwA9zTYROiHjs3JcDWg,7497750602355777850
Trạm Thu phí Km 237 Cao tốc Hà Nội - Lào Cai,22.362387,104.083404,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Km+237+Cao+t%E1%BB%91c+H%C3%A0+N%E1%BB%99i+-+L%C3%A0o+Cai/data=!4m7!3m6!1s0x36cd3d440e2f0563:0x2e5a7e4b7134fe06!8m2!3d22.3623871!4d104.0834038!16s%2Fg%2F11c1q91g1w!19sChIJYwUvDkQ9zTYRBv40cUt-Wi4?authuser=0&hl=vi&rclk=1,"936M+X92 Trạm Thu phí Km 237 Cao tốc Hà Nội - Lào Cai, CT05, Gia Phú, Lào Cai, Việt Nam",ChIJYwUvDkQ9zTYRBv40cUt-Wi4,3340120936135589382
Trạm thu phí Xuân Giao (IC18),22.343404,104.106081,https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+Xu%C3%A2n+Giao+%28IC18%29/data=!4m7!3m6!1s0x36cd230ee6f180d5:0xe01bb3468f93d6f!8m2!3d22.3434041!4d104.1060812!16s%2Fg%2F11h0463sz8!19sChIJ1YDx5g4jzTYRbz35aDS7AQ4?authuser=0&hl=vi&rclk=1,"84V4+9C8 Trạm thu phí Xuân Giao (IC18), Gia Phú, Lào Cai, Việt Nam",ChIJ1YDx5g4jzTYRbz35aDS7AQ4,1009293625281559919
Trạm Thu phí Phố Lu (IC17),22.315763,104.178686,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Ph%E1%BB%91+Lu+%28IC17%29/data=!4m7!3m6!1s0x36cd2300273ca275:0xded8d363c092fc2d!8m2!3d22.3157627!4d104.1786865!16s%2Fg%2F11m5s57jvw!19sChIJdaI8JwAjzTYRLfySwGPT2N4?authuser=0&hl=vi&rclk=1,"857H+HVW Trạm Thu phí Phố Lu (IC17), Bảo Thắng, Lào Cai, Việt Nam",ChIJdaI8JwAjzTYRLfySwGPT2N4,16057816896775584813
Trạm thu phí IC16,22.152107,104.343461,https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+IC16/data=!4m7!3m6!1s0x36ccd771f7296d21:0xdf027e59bfc31134!8m2!3d22.1521066!4d104.3434613!16s%2Fg%2F11b8tc_2yl!19sChIJIW0p93HXzDYRNBHDv1l-At8?authuser=0&hl=vi&rclk=1,"Bảo Hà, Lào Cai, Việt Nam",ChIJIW0p93HXzDYRNBHDv1l-At8,16069545344345772340
Trạm thu phí IC14,21.878211,104.675454,https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+IC14/data=!4m7!3m6!1s0x31334a13efba2a81:0x5d34e739c57bb491!8m2!3d21.8782112!4d104.6754538!16s%2Fg%2F11cknf2111!19sChIJgSq67xNKMzERkbR7xTnnNF0?authuser=0&hl=vi&rclk=1,"Mậu A, Lào Cai, Việt Nam",ChIJgSq67xNKMzERkbR7xTnnNF0,6716247179628622993
Trạm Thu phí IC13,21.698947,104.841234,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+IC13/data=!4m7!3m6!1s0x3133450031ba0ad3:0xf1603b3f9a1c02c!8m2!3d21.6989468!4d104.8412338!16s%2Fg%2F11wj3btk9_!19sChIJ0wq6MQBFMzERLMCh-bMDFg8?authuser=0&hl=vi&rclk=1,"Bến Xe Khách Nước Mát, QL37, Âu Lâu, Lào Cai, Việt Nam",ChIJ0wq6MQBFMzERLMCh-bMDFg8,1087060431578710060
Trạm Thu phí Yên Bái (IC12),21.648031,104.891031,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Y%C3%AAn+B%C3%A1i+%28IC12%29/data=!4m7!3m6!1s0x31335dea0b5533f3:0xc02b1754ff6dc0e!8m2!3d21.6480308!4d104.8910315!16s%2Fg%2F11gmdy7sfx!19sChIJ8zNVC-pdMzERDtz2T3WxAgw?authuser=0&hl=vi&rclk=1,"JVXR+6C7 Trạm Thu phí Yên Bái (IC12), Âu Cơ, Âu Lâu, Lào Cai, Việt Nam",ChIJ8zNVC-pdMzERDtz2T3WxAgw,865449195819424782
